arecod,stos,stoe,wh_id,locsts,velzon,wrkzon,aisle_id,bastrv,trvord
CMD,AK03025,AK03042,SGDC,E,B,LWZ,,3700000,asc
EL,AK04001,AK04052,SGDC,E,B,HWZ,,3700000,asc
EL,AK05001,AK05052,SGDC,E,B,HWZ,,3700000,asc
EL,AK06001,AK06052,SGDC,E,B,HWZ,,3700000,asc
EL,AK07001,AK07052,SGDC,E,B,HWZ,,3700000,asc
EL,AK08001,AK08052,SGDC,E,B,HWZ,,3700000,asc
EL,AK09001,AK09052,SGDC,E,B,HWZ,,3700000,asc
EL,AK10001,AK10052,SGDC,E,B,HWZ,,3700000,asc
EL,AK11001,AK11052,SGDC,E,B,HWZ,,3700000,asc
EL,AK12001,AK12052,SGDC,E,B,HWZ,,3700000,asc
EL,AK13001,AK13052,SGDC,E,B,HWZ,,3700000,asc
EL,AK14001,AK14052,SGDC,E,B,HWZ,,3700000,asc
EL,AK15001,AK15052,SGDC,E,B,HWZ,,3700000,asc
EL,AK16001,AK16052,SGDC,E,B,HWZ,,3700000,asc
CMD,AK04053,AK04091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK05053,AK05091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK06053,AK06091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK07053,AK07091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK08053,AK08091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK09053,AK09091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK10053,AK10091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK11053,AK11091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK12053,AK12091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK13053,AK13091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK14053,AK14091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK15053,AK15091,SGDC,E,B,HWZ,,3700000,asc
CMD,AK16053,AK16091,SGDC,E,B,HWZ,,3700000,asc
EL,AL01001,AL01052,SGDC,E,B,LWZ,,3700000,asc
EL,AL02001,AL02052,SGDC,E,B,LWZ,,3700000,asc
EL,AL03001,AL03052,SGDC,E,B,LWZ,,3700000,asc
EL,AL04001,AL04052,SGDC,E,B,LWZ,,3700000,asc
EL,AL05001,AL05052,SGDC,E,B,LWZ,,3700000,asc
EL,AL06001,AL06052,SGDC,E,B,HWZ,,3700000,asc
EL,AL07001,AL07052,SGDC,E,B,HWZ,,3700000,asc
EL,AL08001,AL08052,SGDC,E,B,HWZ,,3700000,asc
EL,AL09001,AL09052,SGDC,E,B,HWZ,,3700000,asc
EL,AL10001,AL10052,SGDC,E,B,HWZ,,3700000,asc
EL,AL11001,AL11052,SGDC,E,B,HWZ,,3700000,asc
EL,AL12001,AL12052,SGDC,E,B,HWZ,,3700000,asc
EL,AL13001,AL13052,SGDC,E,B,HWZ,,3700000,asc
EL,AL14001,AL14052,SGDC,E,B,HWZ,,3700000,asc
EL,AL15001,AL15052,SGDC,E,B,HWZ,,3700000,asc
EL,AL16001,AL16052,SGDC,E,B,HWZ,,3700000,asc
EL,AL17001,AL17052,SGDC,E,B,HWZ,,3700000,asc
EL,AL18001,AL18052,SGDC,E,B,HWZ,,3700000,asc
EL,AL19001,AL19052,SGDC,E,B,HWZ,,3700000,asc
CWB,AL01053,AL01091,SGDC,E,B,LWZ,,3700000,asc
CWB,AL02053,AL02091,SGDC,E,B,LWZ,,3700000,asc
CWB,AL03053,AL03091,SGDC,E,B,LWZ,,3700000,asc
CWB,AL04053,AL04091,SGDC,E,B,LWZ,,3700000,asc
CWB,AL05053,AL05091,SGDC,E,B,LWZ,,3700000,asc
CWB,AL06053,AL06091,SGDC,E,B,HWZ,,3700000,asc
CWB,AL07053,AL07091,SGDC,E,B,HWZ,,3700000,asc
CWB,AL08053,AL08091,SGDC,E,B,HWZ,,3700000,asc
CWB,AL09053,AL09091,SGDC,E,B,HWZ,,3700000,asc
CWB,AL10053,AL10091,SGDC,E,B,HWZ,,3700000,asc
CWB,AL11053,AL11091,SGDC,E,B,HWZ,,3700000,asc
CWB,AL12053,AL12091,SGDC,E,B,HWZ,,3700000,asc
CWB,AL13053,AL13091,SGDC,E,B,HWZ,,3700000,asc
