prtnum,stoloc,ship_to_loc,minunt,maxunt
39648183,N02065,,12,60
39650551,N03072,,12,60
39653829,N03114,,12,60
39653845,M03081,,12,60
39653852,N03091,,12,60
39670419,M01096,,12,60
39715453,O01031,1396,12,36
39715586,O01032,1396,12,36
39715651,O01033,1396,12,36
39717251,N01029,1396,6,18
39717277,N02043,1396,12,36
39717285,N02008,1396,12,36
39722574,M02022,1396,12,36
39746052,O03116,1506,24,72
39772975,M01080,,12,60
39773049,M02060,,24,120
39773049,M03070,,12,60
39773056,M03069,,12,60
39774195,P01072,1506,6,36
39774211,O03119,1506,6,18
39788138,N01076,,12,60
39819412,N02010,1396,8,24
39828504,P03052,1506,24,72
39845730,N02047,1396,12,36
39848999,O03120,1506,24,72
39867619,M02056,,12,60
39915849,M03094,,12,60
39915849,P01089,1506,12,72
39915851,O02090,,12,60
39917695,N01046,1396,12,36
39919402,M01038,1396,24,108
39927850,N02004,1396,12,36
39929833,N01119,,24,120
39929834,M02089,,24,120
39967047,M02073,,12,60
39968789,N02018,1396,12,36
39983367,N02119,,12,60
39983368,O02073,,12,60
39983371,N01110,,12,60
39983373,O02076,,24,120
39983375,M03058,,24,120
39983543,M03098,,12,60
39987169,O02092,,12,60
39988449,M02016,1396,24,72
39991672,O01115,1506,12,54
39991673,N02025,1396,12,36
39991674,M01049,1396,12,54
39991674,P01076,1506,12,54
39992060,M02033,1396,12,36
39994769,M02038,1396,24,72
39994769,P02074,1506,24,72
39994777,N02031,1396,24,72
39994777,P02075,1506,24,72
39994785,O01051,1396,24,72
39997689,M02025,1396,48,144
40005357,N02052,1396,24,72
40005357,P02073,1506,24,72
40005803,M02004,1396,12,36
40010720,O01061,,12,60
40010787,M02077,,12,60
40011397,N01112,,12,60
40017661,O01101,,12,60
40032450,M02087,,12,60
40032492,N01065,,12,60
40039778,M02012,1396,12,36
40042590,N02081,,12,60
40042624,O03062,,24,120
40046567,M01009,1396,24,108
40046575,N01013,1396,24,72
40047193,N02089,,12,60
40047219,M02098,,12,60
40047227,N03097,,12,60
40047250,N03098,,12,60
40126112,O03114,1506,12,36
40136780,M02018,1396,12,36
40136855,N01038,1396,12,36
40136905,N02038,1396,12,36
40140352,N01084,,12,60
40140352,N03118,,24,120
40141319,N03104,,24,120
40144363,O01054,1396,12,36
40144364,O02041,1396,12,36
40144368,O01058,1396,12,36
40144370,O01057,1396,6,18
40147050,N01041,1396,12,36
40154692,N01091,,24,120
40160434,M02045,1396,12,36
40160442,M01010,1396,12,54
40206005,M02084,,12,60
40206013,M03080,,12,60
40235285,N02030,1396,12,36
40245185,N03099,,12,60
40245193,N02106,,12,60
40246290,N02118,,12,60
40246308,O01089,,12,60
40246316,M02097,,12,60
40248452,O03081,,12,60
40248460,N01105,,12,60
40248502,O01071,,12,60
40259442,M03084,,12,60
40323719,M02096,,12,60
40323727,N02068,,12,60
40323735,N02087,,12,60
40323743,O01074,,12,60
40323750,N01066,,12,60
40338691,N02051,1396,12,36
40338691,P02061,1506,12,36
40338725,M02043,1396,12,36
40338725,O02120,1506,12,36
40343113,M03072,,12,60
40343121,M03074,,12,60
