prtnum,stoloc,ship_to_loc,minunt,maxunt
32982779,L01038,1396,12,90
33056599,O01042,1396,24,72
33057019,G01077,,100,500
33057027,E01077,,500,1000
33058801,E01058,1506,6,45
33058801,J01032,1396,6,45
33062001,P01097,1506,12,72
33086695,K01044,,120,336
33168121,N02013,1396,24,72
33168121,P02055,1506,24,72
33196288,P02077,1506,24,72
33212903,F01048,1506,12,90
33212903,N01023,1396,12,36
33270448,G01032,1506,288,588
33270448,K01076,,120,288
33274036,K01025,1396,12,90
33298498,I01080,,10,100
33320243,O03079,,24,120
33397423,J01025,1396,12,90
33399585,O01012,1396,12,36
33399585,O02112,1506,12,36
33399809,I01046,,20,90
33425489,J01087,,10,100
33435462,F01004,1396,180,360
33435462,O01107,1506,12,54
33448770,O02109,1506,24,72
33468109,M03068,,8,40
33474602,N02075,,24,120
33474636,O03083,,24,120
33535428,N01104,,24,120
33535436,M03054,,24,120
33554726,N01033,1396,12,36
33560061,O02102,,24,120
33560137,O01078,,24,120
33560137,P02086,1506,24,144
33560152,O02070,,24,120
33561200,M02057,,24,120
33561200,P02085,1506,24,144
33561309,M03053,,12,60
33561671,O03077,,12,60
33577180,M02030,1396,12,36
33590167,N02067,,12,60
33591124,E01031,1506,24,180
33591124,H01004,1396,180,360
33632308,O02100,,24,120
33632316,O01093,,12,60
33639329,G01034,1506,78,162
33639329,L01072,,60,78
33675497,N01115,,24,120
33675497,P02092,1506,24,144
33675505,M01089,,24,120
33676099,J01036,1396,12,90
33726464,M01064,,12,60
33726514,O01079,,12,60
33726522,O03072,,12,60
33726548,O03073,,12,60
33726563,O02091,,12,60
33772625,H01073,,100,500
33773094,N01049,1396,12,36
33783911,M02009,1396,12,36
33842626,C01029,1506,264,528
33842626,H01010,1396,264,528
3391329,F01076,,100,500
34000182,M01063,,12,60
34000729,M01085,,12,60
34001057,N03102,,12,60
34024729,M01047,1396,12,54
34024737,N01042,1396,24,72
34024745,N01060,1396,24,72
34029116,N01032,1396,12,36
34042234,L01039,1396,12,90
34042317,O01034,1396,12,36
34042416,M02050,1396,6,18
34054528,N01025,1396,12,36
34089219,L01009,1396,24,180
34089243,H01016,1396,210,420
34089367,O02072,,24,120
34092809,O01023,1396,12,36
34092809,P01053,1506,12,54
34092817,O01025,1396,24,72
34092817,P02053,1506,24,72
34092825,N02039,1396,12,36
34092825,P01056,1506,12,54
34116061,N02062,,24,120
34169268,L01014,1396,6,45
34171801,A01009,1396,200,400
34203042,M01094,,24,120
34209510,M02044,1396,12,36
34270520,O01024,1396,12,36
34293886,G01049,,100,500
34316232,K01024,1396,12,90
34316786,M01019,1396,6,27
34316786,O02107,1506,6,18
34320960,M01099,,24,120
34321026,M01072,,24,120
34323709,K01004,1396,12,90
34371708,H01043,,100,500
34392597,O03105,1506,24,72
34392779,O01114,1506,24,108
34462911,M01060,,24,240
34471912,I01055,,100,500
34472894,J01015,1396,48,360
34497594,N01095,,24,120
34512939,G01029,1506,240,480
34512939,I01037,,120,480
34556381,E01038,1506,24,180
34556381,H01009,1396,264,528
34558817,A01017,1506,120,234
34558817,F01014,1396,150,234
34571109,A01010,1396,200,400
34595934,O01035,1396,12,36
34613638,M02088,,24,120
34613885,M01081,,24,120
34651646,J01065,,50,250
34651653,I01075,,100,500
34794271,K01068,,60,336
34804443,O01100,,24,120
34828921,K01061,,60,240
34849851,D01058,,500,1000
34850164,H01002,1396,240,480
34855213,K01008,1396,12,90
34929455,L01033,1396,24,180
34929455,O02106,1506,24,72
34929539,D01039,1506,228,456
34932871,N01085,,24,120
34938555,H01006,1396,192,384
34949669,C01024,1506,72,144
35033430,N03068,,12,60
35091008,N02014,1396,24,72
35092584,H01058,,60,270
35094028,N03071,,6,30
35105428,M02063,,24,120
35105428,M03086,,12,60
35107135,E01060,,60,120
35119551,J01008,1396,24,180
35119999,N02080,,12,60
35222744,I01029,,240,480
35249846,H01079,,100,500
35249853,J01062,,100,500
35263938,M02048,1396,24,72
35263938,P01068,1506,24,108
35274315,F01035,1506,12,90
35274315,N02046,1396,12,36
35353150,O01004,1396,30,90
35471473,H01072,,100,500
35563360,H01052,,100,500
35631332,O01011,1396,12,36
35631332,O01113,1506,12,54
3563944,A01024,1506,90,180
3563944,C01002,1396,90,180
35646199,M01050,1396,12,54
35646199,P01073,1506,12,54
35667625,M01025,1396,12,54
35667625,O01118,1506,12,54
35670934,H01064,,200,1000
35718436,O01010,1396,8,24
35735752,D01030,1506,210,420
35735752,F01001,1396,210,420
35778984,M01068,,12,60
35792571,O01098,,12,60
35792597,O03067,,12,60
35796770,J01072,,100,500
35814755,F01034,1506,24,180
35814755,J01002,1396,24,180
35817170,D01023,1506,270,540
35817170,H01015,1396,270,540
35841626,M01075,,12,60
35867423,E01002,1396,240,480
35901289,N02024,1396,24,72
35915461,G01004,1396,120,234
35915859,M01017,1396,48,216
35916048,E01024,1506,24,180
35916048,J01038,1396,24,180
35919497,N03079,,12,60
35925262,F01017,1506,48,360
35925262,M01026,1396,48,216
35972397,N02021,1396,24,72
36110385,H01054,,100,500
36110401,F01067,,100,500
36110559,G01041,,100,500
36110625,G01056,,100,600
36140911,O01017,1396,24,72
36168987,N02011,1396,6,18
36168987,P02059,1506,6,18
36243921,M02094,,12,60
36244051,O01073,,12,60
36254753,O03104,1506,8,24
36359578,L01043,,240,912
36360048,L01044,,240,912
36389492,M01043,1396,12,54
36390755,E01027,1506,48,360
36390755,J01033,1396,48,360
36390789,D01026,1506,960,2088
36390789,I01020,1396,1032,2088
36422160,F01024,1506,12,90
36422160,K01018,1396,12,90
36424240,D01035,1506,192,384
36424240,H01007,1396,192,384
36424257,L01025,1396,24,180
36424257,O01104,1506,24,108
36446771,N01012,1396,24,72
36463834,F01029,1506,24,180
36463834,K01014,1396,24,180
36466126,N02120,,24,120
36466159,L01069,,120,336
36484806,M02036,1396,12,36
36546752,G01037,1506,108,216
36546752,J01042,,108,216
36562346,E01021,1506,40,300
36562346,G01005,1396,900,1800
36608222,N02045,1396,12,36
36608230,N01036,1396,12,36
36632438,N01010,1396,24,72
36639482,B01029,1506,156,312
36639482,J01005,1396,12,90
36663649,O02113,1506,12,36
36686319,L01074,,60,120
36688158,F01003,1396,162,330
36688158,F01023,1506,12,90
36744696,O02012,1396,24,72
36744696,P01058,1506,24,108
36755494,E01055,1506,12,90
36758183,E01020,1506,24,180
36758183,G01003,1396,144,288
36778645,H01026,1506,336,672
36778645,J01041,,168,672
36778702,M01090,,12,60
36778777,J01047,,168,672
36779064,N01087,,24,120
36782647,I01071,,100,500
36783058,H01017,1396,60,120
36800563,O01062,,12,60
36801983,E01025,1506,6,45
36801983,L01028,1396,6,45
36808202,I01073,,100,500
36882272,H01080,,100,500
36894608,N01067,,12,60
36895761,M03078,,12,60
36909356,M02061,,12,60
36909745,N01069,,12,60
36909877,N01068,,12,60
36910578,N01101,,24,120
36910578,P02096,1506,24,144
36911543,M03076,,12,60
36912046,M03075,,12,60
36923522,N01070,,12,60
36924090,N02084,,24,120
36924116,L01055,,120,336
36924140,M03079,,12,60
36946531,N03083,,12,60
36947786,N03084,,12,60
36947943,N03085,,12,60
36948370,N03106,,12,60
36954055,N03108,,12,60
36954667,N02095,,12,60
36955516,N03107,,12,60
36981173,F01027,1506,30,225
37008588,N01113,,12,60
37008638,G01030,1506,120,240
37008638,L01075,,60,120
37009073,N01098,,12,60
37009271,N03105,,12,60
37013828,N01108,,8,40
37030152,K01035,1396,12,90
37060548,M01079,,12,60
37081288,H01067,,50,350
37081320,G01048,,50,175
37091659,D01027,1506,144,288
37091659,F01011,1396,144,288
37091667,F01038,1506,24,180
37091667,N02026,1396,24,72
37099512,K01046,,60,336
37108677,D01050,,300,600
37165974,P01063,1506,24,108
37166824,O02116,1506,12,36
37168978,E01048,1506,24,180
37174901,M01082,,12,60
37176989,M01070,,12,60
37180254,D01032,1506,384,792
37180254,L01029,1396,48,360
37189164,N02091,,24,120
37189198,M03090,,24,120
37189339,N03074,,24,120
37189362,N03075,,24,120
37190196,M01058,,12,60
37221520,G01043,,50,350
37233897,O03075,,24,120
37233897,P01099,1506,24,144
37233939,G01038,1506,168,336
37233939,K01079,,60,168
37234846,M02086,,12,60
37250180,O02040,1396,12,36
37251345,O03109,1506,24,72
37260809,O03108,1506,24,72
37261609,O03112,1506,24,72
37261658,O03113,1506,12,36
37270196,E01026,1506,8,60
37270196,M02005,1396,8,24
37272796,M02032,1396,6,18
37272796,O02104,1506,6,18
37283751,M01012,1396,24,108
37294428,P01077,1506,12,54
37294774,N02074,,12,60
37301702,M01057,,12,60
37304458,G01031,1506,168,336
37304458,L01077,,60,168
37304805,E01030,1506,48,360
37304805,K01027,1396,48,360
37304813,O01117,1506,48,216
37312402,N03115,,24,120
