usr_id,oprcod,wh_id
HAMRAN,CTNRPL,SGDC
HAOLONG,CTNRPL,SGDC
HARONB,CTNRPL,SGDC
HASBI,CTNRPL,SGDC
HS0133003,CTNRPL,SGDC
HUDSON,CTNRPL,SGDC
IAHMAD,CTNRPL,SGDC
IMRANA,CTNRPL,SGDC
ISWARAN,CTNRPL,SGDC
JALILBINS,CTNRPL,SGDC
JARAJ,CTNRPL,SGDC
JASMINE,CTNRPL,SGDC
JAYAKUMAR,CTNRPL,SGDC
JEFFCHONGYI,CTNRPL,SGDC
JEFFZM,CTNRPL,SGDC
JENNIFER,CTNRPL,SGDC
JOHNSINGAM,CTNRPL,SGDC
JORDANT,CTNRPL,SGDC
JORDON,CTNRPL,SGDC
JPRASANTH,CTNRPL,SGDC
JS0132564,CTNRPL,SGDC
JTEPLIN,CTNRPL,SGDC
JTEPLIN2,CTNRPL,SGDC
JUNFANC,CTNRPL,SGDC
KELVIN LIM,CTNRPL,SGDC
KHOOKAH,CTNRPL,SGDC
KHUSNI,CTNRPL,SGDC
LAM,CTNRPL,SGDC
LEONGYM,CTNRPL,SGDC
LIMYUANMEE,CTNRPL,SGDC
LM0132337,CTNRPL,SGDC
LT0132440,CTNRPL,SGDC
MAHADI,CTNRPL,SGDC
MAYWONG,CTNRPL,SGDC
MAZLAN,CTNRPL,SGDC
MB0131670,CTNRPL,SGDC
MCHANDANA,CTNRPL,SGDC
MENDOZA,CTNRPL,SGDC
MITHILESH,CTNRPL,SGDC
MOHD RAHMAN,CTNRPL,SGDC
MS0145024,CTNRPL,SGDC
MS145042,CTNRPL,SGDC
MULHENDRIB,CTNRPL,SGDC
MUSHINTEO,CTNRPL,SGDC
NABILSHAH,CTNRPL,SGDC
NGJING,CTNRPL,SGDC
NK,CTNRPL,SGDC
PARTHIBANS,CTNRPL,SGDC
PAUL,CTNRPL,SGDC
PETERFUNG,CTNRPL,SGDC
PETERMATISI,CTNRPL,SGDC
PRINT PACKLIST,CTNRPL,SGDC
PTHEVINDRAN,CTNRPL,SGDC
PTRIVEDI,CTNRPL,SGDC
QAJAYA,CTNRPL,SGDC
QAPREETHI,CTNRPL,SGDC
QARUBAN,CTNRPL,SGDC
QASWARNA,CTNRPL,SGDC
QAVIDYA,CTNRPL,SGDC
QAVINOD,CTNRPL,SGDC
RAFEN,CTNRPL,SGDC
RAGHAV,CTNRPL,SGDC
RAHMAT,CTNRPL,SGDC
RAM,CTNRPL,SGDC
RAYCROSSWELL,CTNRPL,SGDC
RAYMONDTAN,CTNRPL,SGDC
RENQIANG,CTNRPL,SGDC
REUELD,CTNRPL,SGDC
RH145118,CTNRPL,SGDC
RIZAL,CTNRPL,SGDC
ROHIT,CTNRPL,SGDC
ROSLI,CTNRPL,SGDC
RPRABHU,CTNRPL,SGDC
RPSUPPORT,CTNRPL,SGDC
RSRINIVASAN,CTNRPL,SGDC
SAHRI,CTNRPL,SGDC
SAMNI,CTNRPL,SGDC
SAPIEE,CTNRPL,SGDC
SARAVANAN,CTNRPL,SGDC
SASITHAREN,CTNRPL,SGDC
SHAM,CTNRPL,SGDC
SHNEO,CTNRPL,SGDC
SJ133744,CTNRPL,SGDC
SLAVINE,CTNRPL,SGDC
SN0137087,CTNRPL,SGDC
SP0131597,CTNRPL,SGDC
SP133057,CTNRPL,SGDC
SQ0138815,CTNRPL,SGDC
SSHYAM,CTNRPL,SGDC
STEVE,CTNRPL,SGDC
SUPER,CTNRPL,SGDC
SUPERVISOR,CTNRPL,SGDC
SUPRA,CTNRPL,SGDC
SURESHRAMALINGAM,CTNRPL,SGDC
SUSANTAN,CTNRPL,SGDC
SYAZWAN,CTNRPL,SGDC
SYEDM,CTNRPL,SGDC
TANPK,CTNRPL,SGDC
TEMP1,CTNRPL,SGDC
TEMP2,CTNRPL,SGDC
TEMP3,CTNRPL,SGDC
TEMP4,CTNRPL,SGDC
TEMP5,CTNRPL,SGDC
TEOKIAH,CTNRPL,SGDC
TEOKIMJOO,CTNRPL,SGDC
TIMONTHY,CTNRPL,SGDC
VIGNESHWARAS,CTNRPL,SGDC
WANGJANG,CTNRPL,SGDC
WEEKIAT,CTNRPL,SGDC
WEEYAN,CTNRPL,SGDC
YANG,CTNRPL,SGDC
YATIM,CTNRPL,SGDC
YAZIT,CTNRPL,SGDC
YEOPOH,CTNRPL,SGDC
YH0145013,CTNRPL,SGDC
YOGESH,CTNRPL,SGDC
YONGMENG,CTNRPL,SGDC
ZAKARIABIN,CTNRPL,SGDC
ZHANGHE,CTNRPL,SGDC
ZHENYINQ,CTNRPL,SGDC
ZHIQIANG,CTNRPL,SGDC
ZL0132877,CTNRPL,SGDC
ZULILLAZI,CTNRPL,SGDC
ZULSALLEH,CTNRPL,SGDC
ZULYUNOS,CTNRPL,SGDC
ZUOZHUANG,CTNRPL,SGDC
AJITHA,PALTPF,SGDC
AKBHUVANESH,PALTPF,SGDC
AKMAL,PALTPF,SGDC
ALAW,PALTPF,SGDC
ALISA,PALTPF,SGDC
AMIRAB,PALTPF,SGDC
AMY,PALTPF,SGDC
ANTHONY,PALTPF,SGDC
APENLESK,PALTPF,SGDC
AS0130288,PALTPF,SGDC
AS0132878,PALTPF,SGDC
ASHOKKUMAR,PALTPF,SGDC
AYUB,PALTPF,SGDC
AZIMAN,PALTPF,SGDC
B ISMAIL,PALTPF,SGDC
BENGHUA,PALTPF,SGDC
BIN KOMARUDIN,PALTPF,SGDC
BRIDGET,PALTPF,SGDC
C_CLEONG,PALTPF,SGDC
CHANFANN,PALTPF,SGDC
CHINCHEEW,PALTPF,SGDC
CHINGMEI,PALTPF,SGDC
CHNGSHUN,PALTPF,SGDC
CHONG,PALTPF,SGDC
CHRISNATOAL,PALTPF,SGDC
CHUNKAI,PALTPF,SGDC
CRYSTALKHO,PALTPF,SGDC
CW0145014,PALTPF,SGDC
DEBBIE,PALTPF,SGDC
DJAISHREE,PALTPF,SGDC
DL0138873,PALTPF,SGDC
DROE,PALTPF,SGDC
EDMUND,PALTPF,SGDC
EDMUNDPENG,PALTPF,SGDC
ELAVARASU,PALTPF,SGDC
ELROND,PALTPF,SGDC
FADIR,PALTPF,SGDC
FARAHKAN,PALTPF,SGDC
FOOKOCK,PALTPF,SGDC
