prtnum,stoloc,ship_to_loc,maxunt,minunt,invsts,mod_usr_id
30852958,G01033,1506,100,10,AFS,SAMNI
30852990,A01018,1506,100,10,AFS,SAMNI
30852990,D01013,1396,100,10,AFS,SAMNI
30853014,J01031,1396,100,10,AFS,SAMNI
30853014,C01031,1506,100,10,AFS,SAMNI
30876502,O01066,,100,10,AFS,SAMNI
30898456,N03096,,100,10,AFS,SAMNI
30898464,M02079,,100,10,AFS,SAMNI
30922827,P02093,1506,100,10,AFS,SAMNI
30922827,K01048,,100,10,AFS,SAMNI
30927503,N02082,,100,10,AFS,SAMNI
31012313,M01040,1396,100,10,AFS,SAMNI
31027824,N02098,,100,10,AFS,SAMNI
31027832,M01077,,100,10,AFS,SAMNI
31027832,P01086,1506,100,10,AFS,SAMNI
31027857,O02067,,100,10,AFS,SAMNI
31027865,N01024,1396,100,10,AFS,SAMNI
31073943,D01057,,100,10,AFS,SAMNI
31112865,J01043,,100,10,AFS,SAMNI
31112873,L01045,,100,10,AFS,SAMNI
31112899,P02094,1506,100,10,AFS,SAMNI
31112899,O01086,,100,10,AFS,SAMNI
31112907,M02092,,100,10,AFS,SAMNI
31112915,O03074,,100,10,AFS,SAMNI
31214778,P03089,1506,100,10,AFS,SAMNI
3123383,A01036,1506,100,10,AFS,SAMNI
3123383,K01034,1396,100,10,AFS,SAMNI
31249766,O01041,1396,100,10,AFS,SAMNI
31286255,N02059,1396,100,10,AFS,SAMNI
31301013,G01023,1506,100,10,AFS,SAMNI
31301013,K01043,,100,10,AFS,SAMNI
31358666,O01087,,100,10,AFS,SAMNI
31358674,O01091,,100,10,AFS,SAMNI
31358690,O02068,,100,10,AFS,SAMNI
31410350,J01054,,100,10,AFS,SAMNI
31410350,O03086,,100,10,AFS,SAMNI
31410350,G01024,1506,100,10,AFS,SAMNI
31415227,N02111,,100,10,AFS,SAMNI
31415250,N02097,,100,10,AFS,SAMNI
31510290,O02094,,100,10,AFS,SAMNI
31510308,O01097,,100,10,AFS,SAMNI
31545213,M03060,,100,10,AFS,SAMNI
31548506,E01005,1396,100,10,AFS,SAMNI
31548506,A01021,1506,100,10,AFS,SAMNI
31584626,O01026,1396,100,10,AFS,SAMNI
31597792,F01077,,100,10,AFS,SAMNI
31642820,J01035,1396,100,10,AFS,SAMNI
31692155,K01052,,100,10,AFS,SAMNI
31720899,D01033,1506,100,10,AFS,SAMNI
31720899,M02042,1396,100,10,AFS,SAMNI
31721038,L01020,1396,100,10,AFS,SAMNI
31751746,O03084,,100,10,AFS,SAMNI
31771025,N03086,,100,10,AFS,SAMNI
31840564,P02054,1506,100,10,AFS,SAMNI
31911662,I01061,,100,10,AFS,SAMNI
31911688,E01061,,100,10,AFS,SAMNI
3192962,P01067,1506,100,10,AFS,SAMNI
3192962,I01014,1396,100,10,AFS,SAMNI
31946155,N01007,1396,100,10,AFS,SAMNI
31964406,F01030,1506,100,10,AFS,SAMNI
31970429,N02083,,100,10,AFS,SAMNI
31970437,M01088,,100,10,AFS,SAMNI
31987977,G01051,,100,10,AFS,SAMNI
31987985,G01079,,100,10,AFS,SAMNI
32062507,N03109,,100,10,AFS,SAMNI
32147142,L01021,1396,100,10,AFS,SAMNI
32178485,N03081,,100,10,AFS,SAMNI
32178501,N02077,,100,10,AFS,SAMNI
32220352,M03055,,100,10,AFS,SAMNI
32220378,K01056,,100,10,AFS,SAMNI
32220386,N03119,,100,10,AFS,SAMNI
32285959,M03083,,100,10,AFS,SAMNI
32306854,O03076,,100,10,AFS,SAMNI
32328627,I01027,,100,10,AFS,SAMNI
32329161,N01028,1396,100,10,AFS,SAMNI
32329195,N02006,1396,100,10,AFS,SAMNI
32391716,F01062,,100,10,AFS,SAMNI
32391732,H01041,,100,10,AFS,SAMNI
32391765,F01079,,100,10,AFS,SAMNI
32424343,I01068,,100,10,AFS,SAMNI
32437360,M01052,,100,10,AFS,SAMNI
32471195,I01051,,100,10,AFS,SAMNI
32519357,D01043,,100,10,AFS,SAMNI
32521817,M01014,1396,100,10,AFS,SAMNI
32521817,F01032,1506,100,10,AFS,SAMNI
32557795,P02063,1506,100,10,AFS,SAMNI
32557795,O01021,1396,100,10,AFS,SAMNI
32564387,D01021,1506,100,10,AFS,SAMNI
32564387,J01029,1396,100,10,AFS,SAMNI
32707192,G01006,1396,100,10,AFS,SAMNI
32707192,C01038,1506,100,10,AFS,SAMNI
32707267,O01009,1396,100,10,AFS,SAMNI
32717357,N01051,1396,100,10,AFS,SAMNI
32849747,O01080,,100,10,AFS,SAMNI
32849812,I01023,,100,10,AFS,SAMNI
32849812,H01030,1506,100,10,AFS,SAMNI
32849853,N02115,,100,10,AFS,SAMNI
32879231,L01079,,100,10,AFS,SAMNI
32881260,J01045,,100,10,AFS,SAMNI
32945909,N01064,,100,10,AFS,SAMNI
32945909,P01088,1506,100,10,AFS,SAMNI
32948341,H01066,,100,10,AFS,SAMNI
32948358,F01052,,100,10,AFS,SAMNI
32982779,L01038,1396,100,10,AFS,SAMNI
33056599,O01042,1396,100,10,AFS,SAMNI
33057019,G01077,,100,10,AFS,SAMNI
33057027,E01077,,100,10,AFS,SAMNI
33058801,J01032,1396,100,10,AFS,SAMNI
33058801,E01058,1506,100,10,AFS,SAMNI
33062001,P01097,1506,100,10,AFS,SAMNI
33086695,K01044,,100,10,AFS,SAMNI
33168121,P02055,1506,100,10,AFS,SAMNI
33168121,N02013,1396,100,10,AFS,SAMNI
33196288,P02077,1506,100,10,AFS,SAMNI
33212903,F01048,1506,100,10,AFS,SAMNI
33212903,N01023,1396,100,10,AFS,SAMNI
33270448,G01032,1506,100,10,AFS,SAMNI
33270448,K01076,,100,10,AFS,SAMNI
33274036,K01025,1396,100,10,AFS,SAMNI
33298498,I01080,,100,10,AFS,SAMNI
33320243,O03079,,100,10,AFS,SAMNI
33397423,J01025,1396,100,10,AFS,SAMNI
33399585,O02112,1506,100,10,AFS,SAMNI
33399585,O01012,1396,100,10,AFS,SAMNI
33399809,I01046,,100,10,AFS,SAMNI
33425489,J01087,,100,10,AFS,SAMNI
33435462,O01107,1506,100,10,AFS,SAMNI
33435462,F01004,1396,100,10,AFS,SAMNI
33448770,O02109,1506,100,10,AFS,SAMNI
33468109,M03068,,100,10,AFS,SAMNI
33474602,N02075,,100,10,AFS,SAMNI
33474636,O03083,,100,10,AFS,SAMNI
33535428,N01104,,100,10,AFS,SAMNI
33535436,M03054,,100,10,AFS,SAMNI
33554726,N01033,1396,100,10,AFS,SAMNI
33560061,O02102,,100,10,AFS,SAMNI
33560137,O01078,,100,10,AFS,SAMNI
33560137,P02086,1506,100,10,AFS,SAMNI
33560152,O02070,,100,10,AFS,SAMNI
33561200,M02057,,100,10,AFS,SAMNI
33561200,P02085,1506,100,10,AFS,SAMNI
33561309,M03053,,100,10,AFS,SAMNI
33561671,O03077,,100,10,AFS,SAMNI
33577180,M02030,1396,100,10,AFS,SAMNI
33590167,N02067,,100,10,AFS,SAMNI
33591124,E01031,1506,100,10,AFS,SAMNI
33591124,H01004,1396,100,10,AFS,SAMNI
33632308,O02100,,100,10,AFS,SAMNI
33632316,O01093,,100,10,AFS,SAMNI
33639329,L01072,,100,10,AFS,SAMNI
33639329,G01034,1506,100,10,AFS,SAMNI
33675497,P02092,1506,100,10,AFS,SAMNI
33675497,N01115,,100,10,AFS,SAMNI
33675505,M01089,,100,10,AFS,SAMNI
33676099,J01036,1396,100,10,AFS,SAMNI
33726464,M01064,,100,10,AFS,SAMNI
33726514,O01079,,100,10,AFS,SAMNI
33726522,O03072,,100,10,AFS,SAMNI
33726548,O03073,,100,10,AFS,SAMNI
33726563,O02091,,100,10,AFS,SAMNI
33772625,H01073,,100,10,AFS,SAMNI
33773094,N01049,1396,100,10,AFS,SAMNI
33783911,M02009,1396,100,10,AFS,SAMNI
33842626,H01010,1396,100,10,AFS,SAMNI
33842626,C01029,1506,100,10,AFS,SAMNI
3391329,F01076,,100,10,AFS,SAMNI
34000182,M01063,,100,10,AFS,SAMNI
34000729,M01085,,100,10,AFS,SAMNI
34001057,N03102,,100,10,AFS,SAMNI
34024729,M01047,1396,100,10,AFS,SAMNI
34024737,N01042,1396,100,10,AFS,SAMNI
34024745,N01060,1396,100,10,AFS,SAMNI
34029116,N01032,1396,100,10,AFS,SAMNI
34042234,L01039,1396,100,10,AFS,SAMNI
34042317,O01034,1396,100,10,AFS,SAMNI
34042416,M02050,1396,100,10,AFS,SAMNI
34054528,N01025,1396,100,10,AFS,SAMNI
34089219,L01009,1396,100,10,AFS,SAMNI
34089243,H01016,1396,100,10,AFS,SAMNI
34089367,O02072,,100,10,AFS,SAMNI
34092809,P01053,1506,100,10,AFS,SAMNI
34092809,O01023,1396,100,10,AFS,SAMNI
34092817,O01025,1396,100,10,AFS,SAMNI
34092817,P02053,1506,100,10,AFS,SAMNI
34092825,P01056,1506,100,10,AFS,SAMNI
34092825,N02039,1396,100,10,AFS,SAMNI
34116061,N02062,,100,10,AFS,SAMNI
34169268,L01014,1396,100,10,AFS,SAMNI
